CellNumber	FibrilTool Angle	Drawn Line Angle	Raw angle	Absolute angle	Acute absolute angle to ablation	Anisotropy	Sample Number
1	14.9314	15.3333	-0.4019	0.4019	0.4019	0.1282	1
2	28.4429	19.9831	8.4598	8.4598	8.4598	0.2145	1
3	12.9946	18.4349	-5.4403	5.4403	5.4403	0.1523	1
4	22.6199	24.5672	-1.9473	1.9473	1.9473	0.1345	1
5	22.3801	15.0378	7.3423	7.3423	7.3423	0.1572	1
6	27.8973	17.5256	10.3717	10.3717	10.3717	0.1834	1
1	41.9872	49.8991	-7.9119	7.9119	7.9119	0.1419	2
2	36.0274	40.486	-4.4586	4.4586	4.4586	0.1493	2
3	33.6901	6.0885	27.6015	27.6015	27.6015	0.0945	2
4	22.3801	7.125	15.2551	15.2551	15.2551	0.1572	2
5	42.8789	33.3664	9.5125	9.5125	9.5125	0.1533	2
6	33.6901	22.3062	11.3839	11.3839	11.3839	0.0702	2
