Genotype/condition	Sample Number	Timepoint	CellNumber	FibrilTool Angle	Comparison Angle	Raw angle	Absolute angle	Acute absolute angle to ablation	Anisotropy
GFP-MBD	1	1	1	125.7623	174.3573	-48.5951	48.5951	48.5951	0.0683
GFP-MBD	1	1	2	66.8964	37.6498	29.2467	29.2467	29.2467	0.0835
GFP-MBD	1	1	3	68.6307	90.4348	-21.8041	21.8041	21.8041	0.0622
GFP-MBD	1	1	4	42.1086	0.05191	42.0567	42.0567	42.0567	0.1157
GFP-MBD	1	1	5	100.8949	154.198	-53.3031	53.3031	53.3031	0.0525
GFP-MBD	1	1	6	167.9555	0.5961	167.3594	167.3594	12.6406	0.0613
GFP-MBD	1	1	7	160.1034	35.5109	124.5925	124.5925	55.4075	0.0618
GFP-MBD	1	1	8	58.1757	85.8458	-27.6701	27.6701	27.6701	0.1082
GFP-MBD	1	1	9	138.9239	4.1683	134.7557	134.7557	45.2443	0.1492
GFP-MBD	1	2	1	163.0202	174.3573	-11.3372	11.3372	11.3372	0.0571
GFP-MBD	1	2	2	66.7075	37.6498	29.0577	29.0577	29.0577	0.0785
GFP-MBD	1	2	3	62.2163	90.4348	-28.2185	28.2185	28.2185	0.0926
GFP-MBD	1	2	4	23.9377	0.05191	23.8858	23.8858	23.8858	0.1414
GFP-MBD	1	2	5	121.5877	152.3425	-30.7548	30.7548	30.7548	0.0399
GFP-MBD	1	2	6	174.9824	0.5961	174.3863	174.3863	5.6137	0.0533
GFP-MBD	1	2	7	2.31	35.5109	-33.2009	33.2009	33.2009	0.092
GFP-MBD	1	2	8	44.5651	85.8458	-41.2808	41.2808	41.2808	0.06
GFP-MBD	1	2	9	143.0498	4.1683	138.8816	138.8816	41.1184	0.1078
GFP-MBD	1	3	1	175.8491	174.3573	1.4917	1.4917	1.4917	0.0786
GFP-MBD	1	3	2	67.964	35.9188	32.0453	32.0453	32.0453	0.0532
GFP-MBD	1	3	3	67.3464	91.2412	-23.8947	23.8947	23.8947	0.1129
GFP-MBD	1	3	4	12.6729	0.5195	12.1534	12.1534	12.1534	0.1387
GFP-MBD	1	3	5	157.5701	152.3425	5.2277	5.2277	5.2277	0.018
GFP-MBD	1	3	6	178.3831	0.5961	177.787	177.787	2.213	0.0609
