Genotype/condition	Sample Number	CellNumber	FibrilTool Angle	Drawn Line Angle	Raw angle	Absolute angle	Acute absolute angle to ablation	Anisotropy
response	1	1	41.9872	29.5115	12.4757	12.4757	12.4757	0.1419
response	1	2	36.0274	29.0546	6.9728	6.9728	6.9728	0.1493
response	1	3	33.6901	21.3706	12.3194	12.3194	12.3194	0.0945
response	1	4	22.3801	1.1935	21.1866	21.1866	21.1866	0.1572
response	1	5	42.8789	29.1481	13.7308	13.7308	13.7308	0.1533
response	1	6	33.6901	35.5377	-1.8476	1.8476	1.8476	0.0702
response	2	1	28.6105	20.2249	8.3856	8.3856	8.3856	0.2459
response	2	2	22.6199	22.3801	0.2397	0.2397	0.2397	0.1345
response	2	3	37.2348	26.8869	10.3479	10.3479	10.3479	0.2523
response	2	4	27.8973	16.4769	11.4204	11.4204	11.4204	0.1834
response	2	5	25.641	18.4349	7.2061	7.2061	7.2061	0.2114
response	2	6	27.4744	19.4861	7.9883	7.9883	7.9883	0.2324
